ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
2459594,09,20,2010,384200,3,8,6,3,1,N
2118791,04,25,2005,350000,3,8,6,3,1,N
1651566,11,09,1998,0,3,8,6,2,14,N
1913305,09,17,2002,535000,3,8,6,3,1,N
3063665,08,16,2020,700000,14,3,2,2,1,N
2093941,12,30,2004,230000,2,8,6,3,1,N
2198704,04,03,2006,309150,2,8,6,3,1,N
3060554,07,28,2020,811000,11,8,6,2,1,N
2206757,05,12,2006,790000,3,8,6,3,1,N
1721861,11,09,1999,0,3,8,6,15,5,N
1894852,06,21,2002,365000,2,8,6,3,1,N
1963319,04,10,2003,0,3,0,0,15,18,N
2514192,10,06,2011,97605,3,8,6,15,14,N
2621332,07,16,2013,172550,3,8,6,18,4,N
2621332,07,16,2013,172550,3,8,6,18,4,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
2527420,11,28,2011,0,3,8,6,4,8,N
1225733,01,03,1992,193000,3,8,0,2,18,N
1420464,03,14,1995,25000,3,3,2,15,9,N
1323495,07,29,1993,0,3,2,0,15,18,N
1323495,07,29,1993,0,3,2,0,15,18,N
2141288,07,18,2005,417000,3,8,6,3,1,N
1582310,12,01,1997,0,3,8,6,15,14,N
2323287,12,03,2007,332950,3,8,6,3,1,N
1823706,06,05,2001,0,3,8,6,15,18,N
1548882,06,10,1997,0,3,8,6,15,10,N
2266352,02,08,2007,372500,2,8,6,3,1,N
1324288,08,06,1993,106950,3,8,0,2,1,N
1051651,03,22,1989,0,3,8,0,15,9,N
